zero_prompt1,zero_prompt2,zero_prompt3,references
"Commit message: Updated copyright year in AnnotationConfigApplicationContextTests file

Commit message: Added assertions to check bean names for FactoryBean and NonInstantiatedFactoryBean in AnnotationConfigApplicationContextTests file",chore: update copyright year and add assertions in AnnotationConfigApplicationContextTests,Refactor AnnotationConfigApplicationContextTests: add assertions for bean names and types,Consistent assertions for supplier-based bean definition tests
fix bug that caused retry scheduler to be null when creating a RemoteActionContextProvider for remote caching,refactor: Refactored RemoteSpawnRunnerTest to use retryService for retrier instead of creating a new retrier.,Fix remote execution test failure due to change in RemoteSpawnRunner signature.,"Move retry logic to where it's being used.

Simple refactoring that moves the retry logic from the
RemoteModule to the RemoteSpawnRunner where it's actually
being used.

Closes #10212.

PiperOrigin-RevId: 279938161"
"doc: refactor(HeartbeatAlert): convertDeltaExtensions

This commit refactors the `HeartbeatAlert` class by adding a new method called `convertDeltaExtensions`. This method is responsible for converting delta extensions in the `map` parameter. It iterates through the group names and metric names in the display manager and checks if the metric is a delta. If it is a delta, it calculates the delta value for each interval in the sources array and stores it in the targets array. Finally, it replaces the metric values in the map with the targets array.

doc: refactor(HeartbeatAlert): convertToDeltaArray

This commit refactors the `HeartbeatAlert` class by modifying the `convertToDeltaArray` method. It now converts the specified metric values in the `map` parameter to delta array. It creates a new array called `targets` with a length of 60, and calculates the delta value for each interval in the sources array. The resulting delta values are stored in the targets array. Finally, it replaces the metric values in the map with the targets array.

doc: refactor(HeartbeatAlert): convertToDeltaArray

This commit refactors the `HeartbeatAlert` class by modifying the `convertToDeltaArray` method. It now converts the specified metric values in the `map` parameter to delta array. It creates a new array called `targets` with a length of 60, and calculates the delta value for each interval in the sources array. The resulting delta values are stored in the targets array. Finally, it replaces the metric values in the map with the targets array.

doc: refactor(HeartbeatAlert): convertDeltaExtensions

This commit refactors the `HeartbeatAlert` class by adding a new method called `convertDeltaExtensions`. This method is responsible for converting delta extensions in the `map` parameter. It iterates through the group names and metric names in the display manager and checks if the metric is a delta. If it is a delta, it calculates the delta value for each interval in the sources array and stores it in the targets array. Finally, it replaces the metric values in the map with the targets array.","refactor: add convertDeltaExtensions method to HeartbeatAlert

The convertDeltaExtensions method is added to the HeartbeatAlert class in order to convert delta extensions for certain metric names in the map. This will be used to update the targets array for each of these metric names.",Refactored HeartbeatAlert class to convert delta extensions in the map and added the method to convert delta arrays for specific metrics.,add delta judge when executing heartbeat extensions monitor
"- Add check to skip subscriber classes if they or any involved event class are not visible to the index
- Add test for subscriber class with public and private event
- Update test for subscriber extending class with private event","feat: Add logic to skip subscriber classes that are not visible to the index

test: Add test for subscriber class with public and private events",Add new test case for subscriber class with public and private events,added a test for subscribers having methods for public and private event classes
"- Added MatrixTest.class to testNames list in AndroidTestStarter.onCreate()
- Removed MatrixTest.class from testNames list in AndroidTestStarter.onCreate()
- Added AnimationTest.class, AccelerometerTest.class, ActionTest.class, ActionSequenceTest.class, GroupTest.class, AlphaTest.class, AtlasIssueTest.class, AssetManagerTest.class, FilterPerformanceTest.class, AudioDeviceTest.class, AudioRecorderTest.class, BitmapFontAlignmentTest.class, BitmapFontFlipTest.class, GroupCullingTest.class, GestureDetectorTest.class, LabelTest.class, BitmapFontMetricsTest.class, BlitTest.class, TableTest.class, and TextButtonTest.class to GdxTests.tests list
- Removed AnimationTest.class, AccelerometerTest.class, ActionTest.class, ActionSequenceTest.class, GroupTest.class, AlphaTest.class, AtlasIssueTest.class, AssetManagerTest.class, FilterPerformanceTest.class, AudioDeviceTest.class, AudioRecorderTest.class, BitmapFontAlignmentTest.class, BitmapFontFlipTest.class, GroupCullingTest.class, GestureDetectorTest.class, LabelTest.class, BitmapFontMetricsTest.class, BlitTest.class, TableTest.class, and TextButtonTest.class from GdxTests.tests list
- Added AnimationTest.class, AccelerometerTest.class, ActionTest.class, ActionSequenceTest.class, GroupTest.class, AlphaTest.class, AtlasIssueTest.class, AssetManagerTest.class, FilterPerformanceTest.class, AudioDeviceTest.class, AudioRecorderTest.class, BitmapFontAlignmentTest.class, BitmapFontFlipTest.class, GroupCullingTest.class, GestureDetectorTest.class, LabelTest.class, BitmapFontMetricsTest.class, BlitTest.class, TableTest.class, TextButtonTest.class, TextButtonTestGL2.class, TextureBindTest.class, SortedSpriteTest.class, ExternalMusicTest.class, SoftKeyboardTest.class, DirtyRenderingTest.class, YDownTest.class, ScreenCaptureTest.class, BitmapFontTest.class, and LabelScaleTest.class to getNames() method's names list.",refactor: Adjust GdxTests to use List instead of array for storing tests,Added MatrixTest class to list of tests and updated list of test names to display in the activity.,make GdxTests.tests a List so we can add additional GdxTests
"Refactor AuthorizationService authorize method to handle ConcreteShardRequest

Extract original request from ConcreteShardRequest in AuthorizationService authorize method

Update grant method parameters in AuthorizationService

Update setIndicesAccessControl method in AuthorizationService","feat: Add handling for ConcreteShardRequest in authorize method

This commit adds handling for ConcreteShardRequest in the authorize method of the AuthorizationService class. It extracts the original request from the ConcreteShardRequest object and uses it for authorization.",Refactor authorization service to handle ConcreteShardRequest,"Deal with ConcreteShardRequest

It exists now and the intercepters have to deal with it.

Original commit: elastic/x-pack-elasticsearch@fdef0578ed44ac5f8de9a21cf17dad096af6420d"
"- Remove the deprecated `@SuppressWarnings(""deprecation"")` annotation
- Add new methods `hasExceptionCause`, `getExceptionCause`, `hasExceptionSuppressed`, `getExceptionSuppressed`, `hasExceptionMessage`, `getExceptionMessage`, `hasExceptionStackTrace`, `getExceptionStackTrace`, `hasExecutableName`, `getExecutableName`, `hasDeclaringMetaObject`, `getDeclaringMetaObject` to the `InteropLibrary` class
- Create a new method `setExceptionObject` in the `LegacyCatchableException` class
- Change the constructor of `LegacyCatchableException` to accept a `String` argument
- Create a new method `setExceptionObject` in the `LegacyUnCatchableException` class
- Change the constructor of `LegacyUnCatchableException` to be parameterless
- Add a `String` argument to the constructor of `TruffleExceptionImpl`
- Add the methods `hasExceptionMessage`, `getExceptionMessage`, `hasExceptionStackTrace`, `getExceptionStackTrace` to the `TruffleExceptionImpl` class
- Update the `execute` method in the `TestRootNode` class to include a check for the exception message and stack trace
- Add a new `StackTrace` class that implements the `TruffleObject` interface and represents a stack trace
- Update the `TruffleExceptionTest` class to assert the exception message and stack trace","feat: Add new methods for handling exceptions in InteropLibrary

This commit adds new methods to the InteropLibrary class for handling exceptions. The new methods are hasExceptionCause, getExceptionCause, hasExceptionSuppressed, getExceptionSuppressed, hasExceptionMessage, getExceptionMessage, hasExceptionStackTrace, getExceptionStackTrace, hasExecutableName, and getExecutableName. These methods provide additional functionality for working with exceptions in interop scenarios.","Fix interop and exception handling in TruffleExceptionTest
",Added tests for new interop messages.
"Fix bug in ConfigUtil by adding missing import statements.

Update ConfigUtil to use TOOLS cluster if tools=true in server.properties.

Refactor ConfigUtil to use TOOLS cluster if TOOLS cluster is specified or if tools=true in server.properties.

Handle case where cluster is not specified by checking if tools=true in server.properties and using TOOLS cluster.

Add check for TOOLS cluster in ConfigUtil when cluster is not specified.","feat: Add logic to use TOOLS cluster if tools=true in server.properties

This commit adds logic to the ConfigUtil class to use the TOOLS cluster if the ""tools"" property in server.properties is set to true. This ensures that the correct cluster is used for the current application.",Refactored ConfigUtil to use TOOLS cluster if tools=true in server.properties,add tooling zone support
"- Changed imports in AArch64HotSpotLoweringProvider class
- Modified the initialize method in AArch64HotSpotLoweringProvider class to include a new parameter
- Updated the super.initialize method call in AArch64HotSpotLoweringProvider class to include the new parameter
- Changed imports in AMD64HotSpotLoweringProvider class
- Modified the initialize method in AMD64HotSpotLoweringProvider class to include a new parameter
- Updated the super.initialize method call in AMD64HotSpotLoweringProvider class to include the new parameter
- Changed imports in DefaultHotSpotLoweringProvider class
- Modified the initialize method in DefaultHotSpotLoweringProvider class to include a new parameter
- Removed setAllocationSnippets method in DefaultHotSpotLoweringProvider class
- Changed imports in AllocationSnippets class
- Added a new method fillMemoryAlignedUnrollable in AllocationSnippets class
- Updated the fillMemoryAligned method in AllocationSnippets class to call the new fillMemoryAlignedUnrollable method when appropriate",refactor: refactor java code diff,Add support for unrolled initialization in allocation snippets,"Simplify HotSpot lowering initialization, add fillMemoryAlignedUnrollable"
"Refactored code to remove unused variables

Removed unused variables

Refactored code to improve readability

Refactored code to remove duplicate code

Refactored code to improve test case

Refactored code to handle edge case

Refactored code to improve efficiency

Refactored code to fix bug

Refactored code to improve performance

Refactored code to handle exceptions",feat: improve logging in AllocationRoutedStepTests,Refactor code to remove unnecessary settings,Add logging to AllocationRoutedStepTests (#63670)
"- Refactored AbstractDocument's children() method to use Optional to handle null cases.
- Removed a print statement in AbstractDocumentTest's shouldPutAndGetValue() method.
- Added a new test case in AbstractDocumentTest to test retrieving an empty stream for non-existing children.","feat(AbstractDocument): handle non-existent children 

This commit adds logic to handle cases when attempting to retrieve children that don't exist in the document. It returns an empty stream in these cases. This behavior is implemented in the `children` method of the `AbstractDocument` class.

Also, removed a print statement from the `shouldPutAndGetValue` test in the `AbstractDocumentTest` class.",Refactored AbstractDocument class and AbstractDocumentTest class.,#355 handle case when there are no child elements for the given key
Null Values due to token limit,Null Values due to token limit,Null Values due to token limit,Changing parse signature in QueryParseElement
"Fix LogRecord parameters in afterDisconnect method for SlaveComputer

The commit message explains that the LogRecord parameters in the afterDisconnect method for SlaveComputer have been fixed. The changes made involve updating the parameter from SlaveComputer.this to SlaveComputer.this.getName().",Refactor parameter in log message to include slave computer name,Fix incorrect parameter in log message on SlaveComputer class.,print the computer's name as toString() is probably useless
"- Added import statements for File and IOException.
- Added import statements for InternetExplorerDriverLogLevel and InternetExplorerDriverService.
- Created a static InternetExplorerDriverService instance.
- Updated the TestInternetExplorerDriver constructor to use the getService() method.
- Added a static getService() method to get the InternetExplorerDriverService instance.
- In the getService() method, created a new InternetExplorerDriverService.Builder and set the log file and log level.
- Started the service.
- Added a shutdown hook to stop the service when the program exits.","feat: Add InternetExplorerDriver service and log file creation

- Added InternetExplorerDriver service and log file creation for better debugging and error handling.
- The service is started and stopped automatically when the driver is used or the application is closed.
- If the SauceDriver is being used, the service is not created.

References: #123",Add support for Internet Explorer driver service and logging,"AlexeiBarantsev: Setting IEDriverServer logging level to DEBUG if it is running in devMode

r17348"
"Commit messages for the code diffs:

1. Fix variable reference in HighlightBuilder.java
2. Update imports in HighlighterSearchTests.java
3. Add test case for forceSource with source disabled in HighlighterSearchTests.java
4. Fix forceSource highlighting in HighlighterSearchTests.java",fix forceSource field in HighlightBuilder and add test for highlighting with disabled _source field in HighlighterSearchTests,Fixed an issue where highlighting with force_source set to true would fail when the _source field was disabled for the type.,"Fixed per-field forceSource highlighting option

Closes #5220"
Fix temporary workaround for split transition in MultiArchSplitTransitionProvider,"feat: Add temporary workaround for preventing split transition with default flag values

Added a temporary workaround in MultiArchSplitTransitionProvider class to prevent a split transition when cpus is empty and minimumOsVersion is not specified. This is necessary to avoid issues with default flag values.",Temporary workaround to prevent a split transition with default flag values,"Temporarily disable consistent split transitioning on apple_binary rules.

If minimum_os is unspecified on an apple_binary target and ios_multi_cpus is not set, no
apple_binary configuration transition is made.

RELNOTES: None.
PiperOrigin-RevId: 153529598"
Null Values due to token limit,Null Values due to token limit,Null Values due to token limit,"HTTP/2 Simplify Headers Decode Bounds Checking

Motivation:
The HPACK decoder keeps state so that the decode method can be called multiple times with successive header fragments. This decoder also requires that a method is called to signify the decoding is complete. At this point status is returned to indicate if the max header size has been violated. Netty always accumulates the header fragments into a single buffer before attempting to HPACK decode process and so keeping state and delaying notification that bounds have been exceeded is not necessary.

Modifications:
- HPACK Decoder#decode(..) now must be called with a complete header block
- HPACK will terminate immediately if the maximum header length, or maximum number of headers is exceeded
- Reduce member variables in the HPACK Decoder class because they can now live in the decode(..) method

Result:
HPACK bounds checking is done earlier and less class state is needed."
"Refactor HttpServerFileUploadImpl to remove unnecessary code:

- Remove the call to `req.uploadComplete(this)` in the `complete()` method.
- Remove the call to `req.callEndHandler(this)` in the `notifyExceptionHandler()` method.

Refactor HttpServerRequestImpl to remove unnecessary code:

- Remove the `lastUpload` field.
- Remove the `uploadComplete()` and `callEndHandler()` methods.
- In the `end()` method, remove the condition `lastUpload == null` for calling the `endHandler.handle(null)`.

These changes simplify the code and make it more efficient.","feat: Refactor HttpServerFileUploadImpl and HttpServerRequestImpl classes

This commit removes the unnecessary calls to 'uploadComplete' and 'callEndHandler' methods in the HttpServerFileUploadImpl and HttpServerRequestImpl classes. These methods were not being used and only added complexity to the code. The end handler is now called directly when necessary.",Remove file upload-related methods from HttpServerRequestImpl.,Fix end handler calling for file uploads and server requests
Added boolean functions to check if the device or codec needs a workaround for handling `DummySurface` and `setOutputSurface`.,"refactor(MediaCodecVideoRenderer): Update codecNeedsDummySurfaceWorkaround and codecNeedsSetOutputSurfaceWorkaround methods

Refactor the codecNeedsDummySurfaceWorkaround and codecNeedsSetOutputSurfaceWorkaround methods to be protected instead of private.",Refactoring video rendering code,"Allow overriding of setOutputSurface workarounds

Since this is an ongoing problem, it's reasonable that we allow
developers to toggle these workarounds without too much hassle.

Issue: #4468

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=203364488"
"- Refactor ResultMap class to throw BuilderException when a constructor with specified argument names cannot be found
- Improve error message in ResultMap class to provide more information about the error
- Refactor InvalidNamedConstructorArgsTest class to add test case for no matching constructor argument name
- Improve error message in noMatchingConstructorArgName method to include more specific information about the error
- Refactor InvalidNamedConstructorArgsTest class to add test case for wrong Java type in constructor
- Improve error message in wrongJavaType method to include more specific information about the error
- Refactor InvalidNamedConstructorArgsTest class to add test case for missing required Java type in constructor
- Improve error message in missingRequiredJavaType method to include more specific information about the error",fix: Update error messages in ResultMap and InvalidNamedConstructorArgsTest,Fixed errors in result map and added error handling for missing constructors in InvalidNamedConstructorArgsTest.,refs #721 The error message should include result map ID.
"1. Increment test2 iteration count to 2 in SPARCAllocatorTest.java
2. Increment test3 iteration count to 3 and add one success in SPARCAllocatorTest.java","feat: Update test2snippet and test3snippet in SPARCAllocatorTest

- Updated the test2snippet method to pass a parameter value of 2 instead of 1
- Updated the test3snippet method to pass a parameter value of 3 instead of 1",Update test2 and test3 in SPARCAllocatorTest.java to include the correct parameters,[SPARC] changed register counts due to hint
"Refactor assertDDL to use specific method for each action
Refactor doUpdateUsePreparedStatementToExecute to assertExecuteUpdateForPreparedStatement
Refactor doUpdateUsePreparedStatementToExecuteUpdate to assertExecuteForPreparedStatement
Refactor doUpdateUseStatementToExecute to assertExecuteUpdateForStatement
Refactor doUpdateUseStatementToExecuteUpdate to assertExecuteForStatement","refactor: Assert DDL using executeUpdate and execute

The changes in this commit refactor the code to use the executeUpdate method for prepared statements and the execute method for statements when asserting DDL. This simplifies the code and improves code readability and maintainability.",Refactor DDLAssertEngine to use more descriptive method names for assertDDL functionality,for #601: refactor DDLAssertEngine
fix: Removed unused import of com.google.devtools.build.lib.analysis.config.HostTransition in AppleBinaryRule,"feat: Improve AppleBinaryRule and ObjcRuleClasses

- Remove unused import statements
- Refactor the headerScannerAttribute method in ObjcRuleClasses to use LabelLateBoundDefault
- Remove the APPLE_SDK_ATTRIBUTE in AppleBinaryRule",Refactor AppleBinaryRule and ObjcRuleClasses: remove unused code and update headerScannerAttribute,"Automated rollback of commit 475db53bd30b7d23c4fcbec51b441ecb576049bb.

*** Reason for rollback ***

Breaks internal tests

*** Original change description ***

Supply the header thinning tool to apple_binary targets so that aspects that
create ProtoSupport can use it.

RELNOTES: None.
PiperOrigin-RevId: 256936838"
Fixed copyright date and added import statement in StompSubProtocolHandler class.,fix: handle unexpected WebSocket message types,Fix error handling for unexpected WebSocket message types,"Ignore Pong messages in StompSubProtocolHandler

Issue: SPR-12728"
"Add @Getter annotation to the cache variable in DataSourceUtil.java
","feat: Add @Getter annotation for cache field in DataSourceUtil

This commit adds the @Getter annotation to the cache field in the DataSourceUtil class. This allows the cache field to be accessed through getter methods.",Add @Getter annotation to the cache field,get cache list
"Fix typo in variable name contentMustBeEmmpty -> contentMustBeEmpty
Initialize contentMustBeEmpty based on transfer encoding
Check if message is chunked and set Transfer-Encoding header accordingly
Throw exception if chunked message has non-empty content",refactor: Fix typo and rename variable contentMustBeEmmpty to contentMustBeEmpty,Fix transfer encoding check and variable name in HttpMessageEncoder.,Fix typo
"- Changed method name from getUsersList to getAListOfUsers in Mapper interface
- Changed method name from getUsersMap to getAMapOfUsers in Mapper interface
- Changed method name from getUsersMap2 to getUserAsAMap in Mapper interface
- Added method getAListOfMaps to Mapper interface
- Updated test case to call getAListOfUsers instead of getUsersList in ParametrizedListTest class
- Updated test case to call getAMapOfUsers instead of getUsersMap in ParametrizedListTest class
- Updated test case to call getUserAsAMap instead of getUsersMap2 in ParametrizedListTest class
- Added test case for calling getAListOfMaps in ParametrizedListTest class","feat: refactor code to use more descriptive method names

- Rename `getUsersList` to `getAListOfUsers`
- Rename `getUsersMap` to `getAMapOfUsers`
- Rename `getUsersMap2` to `getUserAsAMap`
- Add new method `getAListOfMaps`

These changes improve readability and make the code more self-explanatory.",Refactor Mapper interface and ParametrizedListTest to use more descriptive method names and improve readability.,clarify tests and add a new case that retrieves a list of maps
"Fix order of conditions in checkOnDataAvailable() method

The conditions in the checkOnDataAvailable() method should be ordered correctly to ensure that the inputStream is ready before checking if it is finished.",Refactor the checkOnDataAvailable() method to prioritize inputStream readiness in ServletServerHttpRequest.,Change order of conditions in checkOnDataAvailable() method to avoid potential bug.,"Invert the check for ServletInputStream.isReady()

When checking whether there is still request body the first method
that should be checked is ServletInputStream.isReady() and then
ServletInputStream.isFinished(). ServletInputStream.isReady() is the active
method whereas the ServletInputStream.isFinished() is not.
It is important to call ServletInputStream.isReady() because if it returns
false it will schedule a dispatch and if the request body is already read it will
send onAllDataRead event.

Issue: SPR-16521"
"Fix bug in NativeImageGenerator and AbstractBootImage.

- In NativeImageGenerator, updated the call to AbstractBootImage.create() by removing the mainEntryPoint argument from the method call.
  - The original code included the mainEntryPoint argument as null, which was unnecessary and caused a bug.
- In AbstractBootImage, updated the create() method signature by removing the mainEntryPoint argument from the method signature.
- In ExecutableViaCCBootImage, updated the constructor signature by removing the mainEntryPoint argument from the constructor signature.
- In NativeBootImageViaCC, updated the constructor signature by removing the mainEntryPoint argument from the constructor signature.
- In SharedLibraryViaCCBootImage, updated the constructor signature by removing the mainEntryPoint argument from the constructor signature.

The changes made will fix the bug and ensure correct behavior of the code.","Refactor create method in AbstractBootImage and its subclasses

- Refactor create method in AbstractBootImage to remove the unused parameter `mainEntryPoint` and update its call sites.
- Refactor constructors in ExecutableViaCCBootImage and SharedLibraryViaCCBootImage to remove the parameter `mainEntryPoint` and update the call to the super constructor.",Refactored NativeImageGenerator and AbstractBootImage classes to remove main entry point functionality.,Remove mainEntryPoint handling from NativeBootImageViaCC
"Refactored IdsQueryBuilder_old.java to use wildcard import for java.util
Replaced in.readOptionalStringArray() with in.readStringArray() in doReadFrom() method
Replaced out.writeOptionalStringArray(types) with out.writeStringArray(types) in doWriteTo() method",refactor: Updated IdsQueryBuilder to use wildcard import for java.util,Refactored IdsQueryBuilder class to use wildcard import for java.util.* and replaced method calls in doReadFrom and doWriteTo methods to use more concise syntax.,"Revert changes made to IdsQueryBuilder, fixed upstream meanwhile"
Fix testCollectorOrdering test case to use correct indexing and searching logic,"feat: Add testCollectorOrdering method

This commit adds a new test method called testCollectorOrdering to the SimpleLuceneTests class. This method tests the ordering of collectors in the Lucene library and ensures that the correct documents are returned when searching with a MatchAllDocsQuery.",Add test for collector ordering in SimpleLuceneTests,add a test for collector ordering
"[EspressoContext.java]
- Change type of appClassLoader from Object to StaticObject
- Updated appClassLoader assignment in the constructor
- Updated getAppClassLoader() return type

[EspressoException.java]
- Added @Type(Throwable.class) annotation to exception parameter
- Updated getMessage() method to use Meta.toHostString() instead of Meta.toHost()","fix: Change the type of the ""appClassLoader"" variable to ""StaticObject""
feat: Add @Type annotation to the EspressoException constructor parameter
fix: Use Meta.toHostString instead of Meta.toHost to get the message",Refactor EspressoContext and EspressoException classes,Fix misc usages of Espresso objects.
Fixed issue with NullPointerException,refactor(*): Refactor methods and add tests for document failure handling,Refactor index and document failure handling,add tests
"1. Removed unused import.
2. Overrode methods ""equals"" and ""hashCode"" in inner class AbortedTransaction.
3. Overrode methods ""equals"" and ""hashCode"" in inner class PartitionData.
4. Updated the equals and hashCode methods in the PartitionData inner class.
5. Created a new FetchResponse class with updated equals and hashCode methods.
6. Added a new test case for FetchResponse version 4.
7. Fixed a bug where Arrays.asList was used instead of asList.
8. Updated the testFetchResponseV4 method to test the newly added FetchResponse version 4.
9. Updated the testFetchResponseV4 method to use Utils.mkSet instead of HashSet.
10. Updated the testFetchResponseV4 method to use Utils.mkList instead of Arrays.asList.
11. Refactored testCreateListGroupsResponse to use Utils.mkList instead of Arrays.asList.
12. Refactored testDescribeGroupsResponse to use Utils.mkList instead of Arrays.asList.
13. Refactored testListOffsetResponse to use Utils.mkList instead of Arrays.asList.
14. Refactored testMetadataResponse to use Utils.mkList instead of Arrays.asList.
15. Refactored testLeaderAndIsrRequest and testUpdateMetadataRequest to use Utils.mkSet instead of HashSet.
16. Refactored testCreateTopicsRequest to use Utils.mkSet instead of HashSet and Utils.mkMap instead of HashMap.
17. Updated the deleteTopicsRequest method to use Utils.mkSet instead of HashSet.","feat: Refactor FetchResponse class

Refactored FetchResponse class to add equals and hashCode methods to the AbortedTransaction and PartitionData nested classes.",Update FetchResponse_new.java to include additional methods for equals and hashCode in classes AbortedTransaction and PartitionData. Also update RequestResponseTest_new.java to remove unnecessary imports.,"MINOR: Fix deserialization of abortedTransactions and lastStableOffset in FetchResponse

Thanks to Dong Lin for finding the lastStableOffset issue.

Author: Ismael Juma <ismael@juma.me.uk>

Reviewers: Dong Lin <lindong28@gmail.com>, Jason Gustafson <jason@confluent.io>

Closes #2737 from ijuma/fix-fetch-response-lso"
Null Values due to token limit,Null Values due to token limit,Null Values due to token limit,"[FLINK-16177][checkpointing] Integrate OperatorCoordinator fully with checkpointing.

  - This adds verious tests for OperatorCoordinator checkpointing
  - The checkpoint coordinator also restores state to the OperatorCoordinator"
"Fix a bug where the `NamingEvent` object was not being initialized with the `groupName` and `clusters` fields.
Add getter and setter methods for the `groupName` and `clusters` fields.
","feat(naming): add group name and clusters to NamingEvent

- Adds group name and clusters fields to the NamingEvent class
- Updates the constructor and setters to initialize and set the new fields
- Modifies EventDispatcher to pass the group name and clusters to the NamingEvent constructor when dispatching events",Add support for grouping and clustering in NamingEvent,NamingEvent add getGroupName and getClusters method
"Refactor BumperElement to handle collision with the ball correctly
Refactor WallElement to handle collision with the ball correctly
Refactor Box2DCharacterControllerTest to apply linear impulse in the correct direction for hopping
Refactor Box2DCharacterControllerTest to apply linear impulse in the correct direction for moving left
Refactor Box2DCharacterControllerTest to apply linear impulse in the correct direction for moving right
Refactor Box2DCharacterControllerTest to apply linear impulse in the correct direction for jumping
Refactor ApplyForce to apply force in the correct direction for moving up
Refactor ApplyForce to apply torque for moving left
Refactor ApplyForce to apply torque for moving right","feat: Add third parameter to applyLinearImpulse and applyForce functions in BumperElement, WallElement, Box2DCharacterControllerTest, and ApplyForce classes.","Applied linear impulse and added flash effect when handling collision
- Updated applyLinearImpulse method to include waking up the body when applying the impulse
- Updated applyLinearImpulse method to include waking up the body when applying the impulse
- Updated applyLinearImpulse method to include waking up the body when applying the impulse and added flash effect for frames
- Updated applyLinearImpulse method to include waking up the body when applying the impulse","fixed box2d tests using applyXXX, they noe need an explitic wake flag"
Fix postController code inconsistency,"feat: Update ContentArchiveController and PostController

- In ContentArchiveController:
  - Update the method ""listCategoryBy"" to ""listCategoriesBy"" for better consistency.
  - This change also requires updating the method calls within the class.

- In PostController:
  - Add the import statement for the class ""PostDetailVO"".
  - Update the return type of the method ""getBy"" to ""PostDetailVO"".
  - Update the variable names and method calls within the method according to the new changes.

- In CategoryTagDirective:
  - Update the method ""listCategoryBy"" to ""listCategoriesBy"" for better consistency.
  - This change requires updating the method calls within the class.

- In PostDetailVO:
  - Add fields ""tags"" of type ""List<TagDTO>"" and ""categories"" of type ""List<CategoryDTO>"".
  - Update the ""toString"" and ""equalsAndHashCode"" methods accordingly.

- In PostCategoryService:
  - Update the method ""listCategoryBy"" to ""listCategoriesBy"" for better consistency.

- In PostCategoryServiceImpl:
  - Update the method ""listCategoryBy"" to ""listCategoriesBy"" for better consistency.

- In PostServiceImpl:
  - Update the method ""listCategoryBy"" to ""listCategoriesBy"" for better consistency.
  - Update the method ""convertToDetailVo"" to include the conversion of tags and categories.
  - Add parameters ""tags"" and ""categories"" to the method ""convertTo"" to include the conversion of tags and categories.
  - Update the method calls within the class to include the new parameters.","Fix: Renamed method listCategoryBy to listCategoriesBy in PostCategoryService and updated its references.

Updated the PostDetailVO class to include a list of tags and a list of categories.

Refactored the getBy method in PostController to use the updated PostDetailVO and populate the tags and categories.

Updated the CategoryTagDirective to use the listCategoriesBy method instead of listCategoryBy in PostCategoryService.

Renamed method listCategoryBy to listCategoriesBy in PostCategoryServiceImpl and updated its references.

Refactored the convertToDetailVo method in PostServiceImpl to use the updated PostDetailVO and populate the tags and categories.

Refactored the convertTo method in PostServiceImpl to use the updated PostDetailVO and separate the extraction of tagIds and categoryIds from their conversion.

Modified the convertTo method in PostServiceImpl to accept tags and categories as parameters instead of Supplier objects.

Extracted the conversion of tagIds and categoryIds to separate variables before setting them in the PostDetailVO.

Removed unnecessary comments and imports.",Add tags and categories for returning as content post api requests
"Update JDBCExecuteEngine to include a new import statement

Update JDBCExecuteEngine to include SQLExecuteUnit in the parameter list

Update JDBCExecuteEngine to add a new variable for sqlExecuteGroups

Update JDBCExecuteEngine to add a new variable for executeResponseUnits

Update JDBCExecuteEngine to add a new variable for firstExecuteResponseUnit

Update JDBCExecuteEngine to return a different response based on the type of firstExecuteResponseUnit","feat: Add StatementExecuteUnit import and execute code in JDBCExecuteEngine

Adds the import for StatementExecuteUnit class and modifies the execute code in the JDBCExecuteEngine class to include this new class.",Refactor JDBCExecuteEngine to use new APIs,new import
Add method to exit and clean up resources,"feat: Add code to exit the cluster manager before JVM exit

Add code to call the `leave()` method of the cluster manager to ensure that the non-daemon threads used by Hazelcast do not prevent the JVM exit and shutdown hooks from being called.",Add cluster manager leave method call on exit,Shutdown cluster manager before exit otherwise hazelcast non-daemon threads will prevent exit
"- Modified element tag in TextBlocks13.java
- Modified element tag in TextBlocks13UnitTest.java",refactor: Change <p> tag to <span> tag in TextBlocks13 and TextBlocks13UnitTest,"Refactor HTML tags in `TextBlocks13` and `TextBlocks13UnitTest`

The HTML tags in `TextBlocks13` and `TextBlocks13UnitTest` have been refactored from `<p>` to `<span>`.","[BAEL-2397] Text Blocks

Replaced by `p` by `span`"
"Fix issue with binding the wrong value to the statement in SmsMigrator.java.
Add serialization of external address before binding in SmsMigrator.java.","refactor: Update SmsMigrator to use Address serialization for address binding

The SmsMigrator class has been updated to use Address serialization for binding the address in the SQLiteStatement. This ensures proper handling of addresses when migrating SMS messages.",Refactor addStringToStatement method and bind address to the statement,"Canonicalize addresses during import from system SMS database

// FREEBIE"
"Fix null pointer exception and remove unnecessary lowercase conversion
Refactor code for better readability
Update file navigation pane to correctly select and display searched file
Remove unused imports and format code","refactor: Update file navigation pane to improve search functionality

The code diff includes changes to the FileNavigationPane class. The changes involve modifying the search functionality to be case-sensitive and remove unnecessary use of lowercase conversions. This update aims to improve the accuracy and efficiency of searching for files in the navigation pane.",Refactored FileNavigationPane.java to remove unnecessary use of toLowerCase() method.,"Made searching case sensitive

Why was searching case insensitive to begin with?"
