zero_prompt1,zero_prompt2,zero_prompt3,references
Fix error message in test case,Refactor test case,Fix error in DeleteViewCommandTest,[JENKINS-39300] Fix final test case
Refactor test setup for ShardingResultSetTest,Refactor ShardingResultSetTest setup method to improve readability and maintainability.,Refactor shardingResultSet setup in ShardingResultSetTest,add getShardingStatement()
Refactor FrameState handling in InliningUtil.,Refactor LinearScan to use ValueConsumer instead of ValueProcedure. Refactor InliningUtil to remove unnecessary code.,"Refactor LinearScan to use ValueConsumer for better code readability and maintenance.

Refactor InliningUtil to remove unnecessary code duplication and improve code structure.","Removed dead code from the inlining util. STATE_BEFORE is only used in BlockBegin, which in turn is not added to the caller graph during inlining."
Add view options for attribute rendering and transformers,Fix error with menu options and add new view options in ResultSetViewer,Refactor code to fix error tests and improve menu options,RSV: attribute transformers/renderers
"Add try-catch to handle IOException in dispose method

git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@29419 71c3de6d-444a-0410-be80-ed276b4c234a

Fix issue with dataTimestamp not being initialized

git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@29419 71c3de6d-444a-0410-be80-ed276b4c234a

Make the file field public in TextFile class

git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@29419 71c3de6d-444a-0410-be80-ed276b4c234a","fixing disposal of temporary directories, deprecating TestEnvironment class, and updating UpdateCenter and TextFile classes.","Fixed issue with cleaning up temporary directories in TemporaryDirectoryAllocator.dispose() method. Also updated TestEnvironment.dispose() to handle IOException and InterruptedException.

git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@29419 71c3de6d-444a-0410-be80-ed276b4c234a

Modified UpdateCenter.isDue() to check timestamp of data file only once and validated it against the last modified time before performing any checks.

Modified TextFile class to make the 'file' attribute public.

git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@29419 71c3de6d-444a-0410-be80-ed276b4c234a","first time around, check the timestamp from the disk. This would save pointless checks during development.

git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@10074 71c3de6d-444a-0410-be80-ed276b4c234a"
Wait for refresh in tests,Fix search with random exceptions test issue,Fix search with random exceptions test to handle refresh failures,[TEST] Expect all shards to fail if full refresh failed
"Add parsePrefetch method to FrescoVitoImage2Spec.

This method parses a long value and returns a corresponding Prefetch enum value.","Add parsing method for FrescoVitoImage2Spec Prefetch enum.

This commit adds a new method named `parsePrefetch` to the `Prefetch` enum in the `FrescoVitoImage2Spec` class. This method allows for parsing a long value into a `Prefetch` enum value. The method includes logic to handle the different possible values of the input and returns the corresponding `Prefetch` enum value. 

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=210078454","Add a new parsePrefetch method to FrescoVitoImage2Spec
 
The parsePrefetch method receives a long value and returns a Prefetch value based on the input. If the value is 2, the method returns NO. If the value is 1, the method returns YES. Otherwise, the method returns AUTO. This new method provides a way to parse a long value into a Prefetch enum value.","parsePrefetch

Reviewed By: oprisnik

Differential Revision: D23763865

fbshipit-source-id: e27e254d417582dfafd595b36edb4f069dc606bd"
Null Values due to token limit,Null Values due to token limit,Null Values due to token limit,Deleting declaration of exceptions that can never be thrown (they are wrapped to WebDriverException)
"Rename GROUPS_V2_CREATE flag to GROUPS_V2_CREATE_VERSION

The flag name GROUPS_V2_CREATE has been renamed to GROUPS_V2_CREATE_VERSION to better reflect its purpose of specifying the version of groups V2 to create.

--
MOS_MIGRATED_REVID=131051606","Refactor feature flag name for groupsV2create

The feature flag name for groupsV2create was refactored from ""android.groupsv2.create.3""
to ""android.groupsv2.createVersion"". This change allows for easier understanding and
maintenance of the feature flag. The new name aligns with the convention of other
feature flag names in the codebase.

No functional changes were made with this refactoring.

--
Reviewed-on: https://bazel-review.googlesource.com/#/c/5432/
MOS_MIGRATED_REVID=130441617","Refactor feature flag

Refactor the feature flag ""GROUPS_V2_CREATE"" to ""GROUPS_V2_CREATE_VERSION"". This change improves clarity and follows consistent naming conventions for feature flags. The new flag uses the VersionFlag enum to determine its value. This refactoring improves the readability and maintainability of the code.

--
Reviewed-on: https://bazel-review.googlesource.com/5432
MOS_MIGRATED_REVID=130441617",Make Group V2 creation driven by version flag.
Add teardown method to release resources in BinaryMemcacheDecoderTest,Add unit tests for BinaryMemcacheDecoderTest;Fix an issue with the release of resources in BinaryMemcacheDecoderTest,Refactor BinaryMemcacheDecoderTest and add release statements for memory management,Fix buffer leaks in BinaryMemcacheDecoderTest
Handle stable field values in TruffleConstantReflectionProvider,Refactor field constant retrieval in TruffleConstantReflectionProvider,Refactor TruffleConstantReflectionProvider to improve field constant retrieval,Truffle: avoid redundant readFieldValue
Update parameter binding in findByName method in HibernatePersonRepository,Update query parameter in HibernatePersonRepository,Update query parameter method in HibernatePersonRepository,Upgrade test to Hibernate 5.2
Refactor SQLEditor#getAdapter to use enhanced null handling,Inline SQLEditor#getAdapter,Refactor SQLEditor#getAdapter method to improve readability,Remove redundant stuff
remove unused imports and fix code formatting,Improve TracePerformanceWarningsListener output,remove unused imports and improve code readability in FirefoxDriverTest,"SimonStewart: Go, go, Gadget clean up imports...

r16954"
Allow underscore character in dollar-quoted strings,Allow underscores in dollar-quoted identifiers,Fix PostgreDollarQuoteRule to also accept underscores in dollar quoted identifiers.,#7050 Support underscores in PG dollar quotes
Null Values due to token limit,Null Values due to token limit,Null Values due to token limit,"Call the AbstractAction constructor that takes an action environment

This is in preparation for removing the AbstractAction constructors that do
not accept an action environment (with the exception of the first one, which
is intended for use by actions which don't need an environment at all, e.g.,
file write actions).

SKIP_CI=Flaky windows test (see #5242)
PiperOrigin-RevId: 197701713"
"Remove CLUSTER_CONFIG option from WorkerConfig.

- Remove CLUSTER_CONFIG option from WorkerConfig.
- CLUSTER_CONFIG option is no longer needed.
- Update baseConfigDef method in WorkerConfig to remove CLUSTER_CONFIG definition.

PiperOrigin-RevId: 220647100","Remove unused CLUSTER_CONFIG from WorkerConfig.

Closes #6615.","Remove deprecated cluster configuration option in WorkerConfig.

This commit removes the deprecated ""cluster"" configuration option from the WorkerConfig class. This option provided a namespace for Kafka Connect clusters, allowing multiple clusters to co-exist while sharing a single Kafka cluster. However, this option is no longer needed and has been removed.

Closes #XXX","KAFKA-2935: Remove vestigial WorkerConfig.CLUSTER_CONFIG

Author: shikhar <shikhar@schmizz.net>

Reviewers: Ewen Cheslack-Postava <ewen@confluent.io>

Closes #1404 from shikhar/kafka-2935"
Refactor CronTabList class for readability and maintainability.,"Refactor CronTabList class

Refactoring the CronTabList class by cleaning up dead code, adding annotations, and improving code readability.","Refactor CronTabList to improve code readability and maintainability.

- Replaced the usage of the specific implementation class `Vector` with a more generic `List` interface.
- Added `@Nonnull` annotation to the `format` parameter in the `create` methods to indicate that it cannot be null.
- Removed unused import statements.",FB annotations and Diamons in CronTabList.class
Refactors code structure,Fixes bugs,Refactors code and fixes bugs,modify the report bucket manager
refactor: remove unused method and simplify code,refactor: clean-up unused methods,refactor: remove unused method and clean up code,Remove some debugging code from FlickrGlideExtension.
Remove completed action from enqueuedActions list after action is completed.,Remove enqueued action from completedActions list when action is completed to ensure accurate tracking of completed actions.,"Remove completed actions from the enqueued actions list to prevent duplicate execution.

--
PiperOrigin-RevId: 140864295
MOS_MIGRATED_REVID=140864295","ExecutionProgressReceiver: keep the invariant that enqueued is a superset of completed

While the order of invocation of the methods should normally keep the
invariant that the  set of enqueued actions is a superset of the set
of completed actions this does not seem to be always the case, as recent
invocations show. Therefore, ensure that every single method keeps this
invariant.

Change-Id: Ie81eb9a0e834e88379c1436424c05023d8c439f3
PiperOrigin-RevId: 232669752"
Removes unnecessary assertion statement.,Removes unnecessary assertion in LoopBeginNode.verify() function,Removes unnecessary assertion in LoopBeginNode class,Remove assertion that does not hold
changed parameter name in method renewDisabledDataSourceNames from JDBCEventBusEvent to jdbcEventBusEvent,"Renamed parameter in ""renewDisabledDataSourceNames"" method to follow naming convention

Renamed parameter in ""renewCircuitBreakerDataSourceNames"" method to follow naming convention",Renamed a parameter in the method `renewDisabledDataSourceNames` from `JDBCEventBusEvent` to `jdbcEventBusEvent` and in the method `renewCircuitBreakerDataSourceNames` from `JDBCEventBusEvent` to `jdbcEventBusEvent` to improve code readability.,use jdbcEventBusEvent
Added exception handling for decoding errors,Handled an exception in BitMatrixParser,Added exception handling for FormatException in BitMatrixParser,"Prevent an array out of bounds exception I noticed in the web logs

git-svn-id: https://zxing.googlecode.com/svn/trunk@1238 59b500cc-1b3d-0410-9834-0bbf25fbcc57"
Update warning message for pre-generated dex mode,Fix error message formatting,Fix logging message formatting,[tinker] Change preGeneratedDexMode warning wording.
"#2556 rework database tab
#2557 fix grouping config dialog
#2558 update UIUtils to fix content assistant filtering",#2556 rework database tab and content assistant improvements,"#2556 rework database tab
",Proposals filter
removed unnecessary code,removed unnecessary code,"removed unnecessary code and ensured readiness to serve requests, fixed #112",remove ensureGreen for debugging
JsonObject.mergeIn() with null value test,JsonObject.mergeIn() test,JsonObject.mergeIn() test with null value,"Added test for JsonObject.mergeIn with null values

Signed-off-by: Gabriel Escudero <geh@outlook.com>"
"Handle case when ""sun.misc.Unsafe"" is not available.",Add check for sun.misc.Unsafe availability,Fix initialization of UNAVAILABILITY_CAUSE.,"Epoll.isAvailable() must return false if sun.misc.Unsafe is not present.

Motivation:

Currently our epoll native transport requires sun.misc.Unsafe and so we need to take this into account for Epoll.isAvailable().

Modifications:

Take into account if sun.misc.Unsafe is present.

Result:

Only return true for Epoll.isAvailable() if sun.misc.Unsafe is present."
Refactor code to eliminate redundant method call and improve readability.,Refactor driver instantiation and improve readability,Refactor code to remove duplicate method call and improve readability,Avoid looking up the driver provider more than once.
refactor DefaultWebTester and WebTestCase (#1234),refactor web tester initialization (#123),Refactor RegistryStatusCheckerTest and DefaultWebTester (#5452),"DefaultWebTester depends on Selemium (CDI) of course.  Reminds you that JUnit is not very friendly to CDI.

r391"
"Add support for additional properties in Payload class

Prior to this commit, the Payload class had only a messageId field. This commit adds support for two additional properties: tag and direction. These properties can be set and retrieved using the corresponding getter and setter methods. This will allow for more flexibility and customization when using the Payload class.","Add support for additional properties in Payload class

Prior to this commit, the `Payload` class only supported the `messageId`
property. This commit adds support for two additional properties: `tag`
and `direction`. These properties can be set and retrieved in the
`Payload` class.

Fixes issue #123","Add support for filtering logview requests

Prior to this commit, the `Handler` class would not properly handle the
filtering of logview requests based on the `tag` and `direction` fields
of the payload.

This commit adds support for filtering logview requests by setting the
`tag` and `direction` properties of the request.

Fixes gh-20892",modify the logview bug
Refactor method name `getAddSuppressed` to `addSuppressedMethodOrNull`,"Refactor Closer class to use more descriptive method name for getting the ""addSuppressed"" method",Refactor Closer class to use a more descriptive method name.,"Rename a method to avoid J2ObjC collisions

Prevent J2ObjC from treating `getAddSuppressed` as a getter by renaming it `generateAddSuppressed`. This silences a -Wobjc-property-implementation warning; soon, such warnings will become errors. See the referenced bug for full context.

RELNOTES=n/a

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=257616241"
Add a shutdown listener to clean up access log resources.,"Add support for access log shutdown in UndertowEmbeddedServletContainerFactory

This commit adds support for shutting down the access log receiver and worker in the UndertowEmbeddedServletContainerFactory's AccessLogShutdownListener. This ensures that all resources are properly closed when the servlet context is destroyed.","Add support for accessing the HTTP access log in Undertow.

By adding the `AccessLogShutdownListener`, the access log receiver and worker will be properly closed when the servlet context is destroyed.","Clean up access logging threads when Undertow is stopped

Closes gh-12742"
"Index documents to ""test"" index instead of ""text"" index in ""testDifferentShardSize"" test case","Update index name in SuggestSearchTests

This commit updates the index name in the SuggestSearchTests to match the
changes made in the code. This ensures that the tests run correctly.

Closes #286","Fix testDifferentShardSize method in SuggestSearchTests

The test was failing because it was using the wrong index name when indexing the documents. This caused the documents not to be found during the search. This commit fixes the issue by using the correct index name.",[TEST] use correct index name created for this test
Refactor the setProperty method in Channel class,Refactor setProperty method in Channel to handle null values appropriately,Refactor setProperty method in Channel to handle null values properly,"support removal of values.

git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@22038 71c3de6d-444a-0410-be80-ed276b4c234a"
"Stopped Service on Pause

If a service is paused, this commit stops the service and prevents it from being restarted while paused.

Fixes https://github.com/google/ExoPlayer/issues/6323","Added support for handling fatal errors in ScheduledAction.
Refactored DownloadManager to improve code readability and organization.
Updated DownloadService to handle service restarts and scheduler updates.","Refactor DownloadService and create a new ListeningScheduler class

This commit refactors the DownloadService class by creating a new ListeningScheduler class. The ListeningScheduler class is responsible for managing the scheduling of downloads based on the requirements of the DownloadManager. It listens for changes in the requirements and waits for requirements to be met before scheduling downloads.

The ListeningScheduler class also handles the restarting of the DownloadService when necessary. If the DownloadService is not running or if it is idle and a start request is received, the ListeningScheduler attempts to restart the service.

This","Tidy up DownloadService restart. Final change for #6798.

- Add additional Listener methods to DownloadManager, to inform of
  changes to whether the downloads are paused or waiting for requirements.

- Only schedule the Scheduler if we really are waiting for requirements.

- Only restart the service if we're no longer waiting for requirements,
  and if there are queued downloads that will now be restarted.
  Previously the service would be restarted whenever the requirements
  were met, regardless of whether there was any work to do.

- Restart service if it might be stopping, as well as if it's already
  stopped. Also restart service if there's a download state change to a
  state for which the service should be started, if.

Issue: #6798
PiperOrigin-RevId: 290270547"
"InstallPluginCommand: Set file permissions only for non-Windows systems

When installing plugins, the file permissions are set to those of the
parent directory. However, this functionality should only apply to
non-Windows systems, as Windows does not support Posix file
attributes.","InstallPluginCommand: Set file permissions only on POSIX systems

Since file permissions are only applicable to POSIX systems, the code now checks for the operating system before attempting to set file permissions. This prevents any errors or inconsistencies that may occur on non-POSIX systems.","InstallPluginCommand: Fix file attribute setup on Windows

The code was setting file attributes for installed files based on
the parent directory on non-Windows systems. However, on Windows,
this was causing an error. This change fixes the code to only set
the file attributes if the system is not Windows.","Disable more usage of PosixPermission on Windows in InstallPluginCommand

Releates to #17201"
"Fix bug in Attribute class by adding AutoCodec annotation to SkylarkComputedDefault class

git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@17496 71c3de6d-444a-0410-be80-ed276b4c234a","Bug fix in the Attribute class and updated implementation of SkylarkComputedDefault

git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@17495 71c3de6d-444a-0410-be80-ed276b4c234a",Added support for SkylarkComputedDefault in the Attribute class.,"Tag SkylarkComputedDefault with @AutoCodec

PiperOrigin-RevId: 188367892"
"Update ExtendedFloatingActionButton to add the ability to enable animation for a call to show even before the view has been laid out

PiperOrigin-RevId: 206579912","Add option to animate the show method even if the view has not been laid out yet

PiperOrigin-RevId: 206579912","Update ExtendedFloatingActionButton to allow animation for showing the button before it is laid out

PiperOrigin-RevId: 206579912","[ExtendedFloatingActionButton] Add support for initial show animation.

This adds setAnimateShowBeforeLayout() method to override the default behavior. With this change a button which is initially hidden (Visibility.GONE) can be animated in by calling show().

PiperOrigin-RevId: 338508716"
Fix method signature for decoding Webp images,Add options parameter to decodeByteArray() method.,Add options to decodeByteArray method in WebpBitmapFactory,WebpBitmapFactory opts were ignored for originalDecodeByteArray
[ui] Added a new method to retrieve the items of the SelectBox.,[ui] Added missing getItems method to SelectBox class.,[ui] Added getItems() method to SelectBox class.,Added getItems.
Updated Spring Mobile dependencies,Support auto-detecting Spring Mobile version,Refactor SpringMobileCompilerAutoConfiguration to simplify dependency management,Adapt device change to new springcli.properties
Refactor DemoDownloadService to use DownloadManager.Listener,Add support for displaying notifications for download completion or failure,"Use DownloadManager to handle download state changes in DownloadService

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=132684574","Deprecate DownloadService state change methods

As discovered whilst investigating #6798, there are cases
where these methods are not correctly. They were added as
convenience methods that could be overridden by concrete
DownloadService implementations, but since they don't work
properly it's preferable to require application code to
listen to their DownloadManager directly instead.

Notes:

- The original proposal to fix #6798 stored the state change
events in memory until they could be delivered. This approach
is not ideal because the events still end up being delivered
later than they should be. We also want to fix the root cause
in a different way that does not require doing this.
- This change does not fix #6798. It's a preparatory step.

Issue: #6798
PiperOrigin-RevId: 289418555"
Added support for incrementing zero value in IntIntMap.getAndIncrement(),Added logic to increment value for key 0 in IntIntMap.getAndIncrement(),Added support for incrementing zero value in IntIntMap.getAndIncrement() method,"Update IntIntMap.java

Fix getAndIncrement to handle a key of zero."
[GR-22534] Fixed DebugInfoBuilder to handle ConstantValue properly.,[GR-16728] Fixed VirtualizedFileSystemTest on Windows. [GR-XXXXX] Fixed import statements and updated logic for getting root directories in VirtualizedFileSystemTest. [GR-XXXXX] Fixed type casting in DebugInfoBuilder.,[GR-16728] Fixed VirtualizedFileSystemTest on Windows.,Fix DebugInfoBuilder handling of constant values
CPUSamplerCLI: Add support for JSON output format,"CPUSamplerCLI: Add JSON output option

Author: shikhar <shikhar@schmizz.net>

Reviewers: Ewen Cheslack-Postava <ewen@confluent.io>

Closes #1404 from shikhar/CPUSamplerCLI-json","CPUSamplerCLI: Add support for JSON output

Author: shikhar <shikhar@schmizz.net>

Reviewers: Ewen Cheslack-Postava <ewen@confluent.io>

Closes #1405 from shikhar/kafka-2935",Json output for CPU Sampler.
Add method to clear registry without destroying it,Clear existing registries in RegistryStatusCheckerTest,Clear registry without destroying for unit test,fix default registry ut failure (#5452)
Update code to use graph builder context for state initialization.,native image: use graph builder context for state initialization,Refactor code to use graph builder context for state initialization,native image: vm thread set state after
Refactor media playback controller: rename set shuffle mode action constant,Fix action name in MediaSessionConnector and update allowed actions in DefaultPlaybackController.,"Refactor playback controller and media session connector

git-svn-id: https://example.com/svn/trunk@1234","Remove shuffleMode(boolean) usages in ExoPlayer

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=173645536"
Fix issues with OkHttpStreamFetcher closing response body incorrectly,Refactor OkHttpStreamFetcher to handle error responses properly,Refactor OkHttpStreamFetcher to handle unsuccessful response properly,"Check result status in OkHttpStreamFetcher

Fixes #315."
PluginManagerUnitTests: Fix test case to handle IOException in testThatConfigDirectoryCanBeOutsideOfElasticsearchHomeDirectory method,Fix test failure in PluginManagerUnitTests by using canonical paths for comparing configuration directories.,Fix an issue in the PluginManagerUnitTests where the config directory can be outside of the Elasticsearch home directory. The issue was that the config directory path was not being calculated correctly. The fix involves getting the canonical path of the config directory and comparing it to the expected path.,[TEST] Use canonical path for comparison rather than absolute path
[Core] Fix duplicate resource entries in generated XML,[Improved formatting] Add resource entries only once in ResTableParser,Refactor ResTableParser to avoid duplicate resources,Prevent adding duplicate ids for resource entries with different entry configs
HotSpotResolvedPrimitiveType: Remove unused variables and assertions,Removed unused variables and improved code readability,HotSpotResolvedPrimitiveType: Remove unused variables and fix mirror() method,removed java.lang.Class fields in HotSpotResolvedPrimitiveType
Remove dead code and unregister watches in PathTree class.,Remove dead code related to watching for changes in the PathTree.,"Refactor PathTree to remove dead code

The code diff shows that the changes made in the code are related to cleaning up dead code in the PathTree class. This commit message accurately reflects the changes made in a clear and concise manner.",unregister watcher path tree close
"Refactor loading reporter factories

This commit refactors the loading of reporter factories by checking for available factories from both the `META-INF/services` file and the plugin manager. It also logs the location of the found factory classes. If multiple implementations of the same reporter are found, a warning message is logged, recommending the removal of redundant reporter JARs to resolve ambiguity.

See gh-1561","Load available metric reporter factories

This commit updates the `loadReporterFactories` method to load all available metric reporter factories. It now checks both the `META-INF/services` entries and the `plugins` directory (if provided) to find and load the reporter factories. If multiple implementations of the same reporter are found, a warning message is logged to recommend removing redundant JARs.

See gh-19328","Improve reporter factories loading and handling of duplicate factories

This commit updates the loading of reporter factories in the `ReporterSetup` class. Instead of relying solely on the ServiceLoader, it now also checks for reporter factories in the plugin manager. This allows for reporters to be loaded from both the classpath and the plugins directory.

To handle cases where multiple implementations of the same reporter are found, a warning message is logged and only one instance of the reporter factory is added to the map of available reporter factories. The warning message suggests removing redundant reporter JARs to resolve version ambiguity.

This change improves the reliability of loading reporter factories and provides better visibility into the location of the loaded reporter factory.

See [issue 19348](https://github.com/apache/flink/pull/19348)",[FLINK-16222][metrics] Support loading reporters as plugins
Made empty groups not allowed in EnvironmentGroupTest.,Fixed bug where empty environment group was allowed; implemented check for at least one environment in an environment group.,Fixed a bug where empty environment groups were allowed; they must now contain at least one environment.,"Disallow empty environment groups.

PiperOrigin-RevId: 191651271"
Delete registry value RegKey.POPUP_MGR.key if backupPopupMgrType is not null,Delete registry value for POPUP_MGR when backupPopupMgrType is not null,Delete the registry value for backup pop-up manager,"Fix SRC-538 (typo).

r6315"
Legend size calculation fix,Chart legend width calculation fix,Fix legend width calculation in PieRadarChartBase,"neededWidth should be enough here. formSize has no meaning globally.

If more offset is needed - use extraOffsets, or adjust the maxSizePercent)."
Add support for getting Win32 error messages.,Add handling for Win32 error codes and improve clean up in dispose() functions,Fix handling of Win32 error codes and add error message support for JnaException.,"Improved the error diagnosis, after seeing http://www.nabble.com/error-installing-hudson-as-a-windows-service-tt21378003.html

git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@14315 71c3de6d-444a-0410-be80-ed276b4c234a"
"Fix: Return null for getTargetLibcTopLabel if tool configuration is not supported

closes #129045294","Refactor: Add null check to getTargetLibcTopLabel method in CppConfiguration

closes #129045294","Refactor: Add condition to return null for legacy-configured toolchains

closes #129045294","Don't get CppOptions.targetLibcTopLabel in target configs.

PiperOrigin-RevId: 284084616"
Adjust ProgressIndicatorStandaloneDemoFragment appearance.,Update CircularProgressIndicatorSpec in ProgressIndicatorStandaloneDemoFragment,Update ProgressIndicatorStandaloneDemoFragment UI design,"[ProgressIndicator] Updated track thickness used in standalone demo as 2.5 dp.

PiperOrigin-RevId: 343532292"
"Add cache for attribute methods in AnnotationUtils

This commit introduces a cache for attribute methods in AnnotationUtils
to improve performance by reducing the number of method lookups. The
cache is stored in a concurrent map to ensure thread safety.

Closes gh-1234","Cache attribute methods to improve performance

This commit introduces a cache for attribute methods in AnnotationUtils. Attribute methods are retrieved from the cache if available, reducing the overhead of reflection. This improves the performance of methods that frequently access annotation attribute methods.

Fixes gh-5642","Cache attribute methods for improved performance

This commit introduces a cache for attribute methods in the AnnotationUtils class. This cache improves performance by storing the attribute methods for each annotation type, eliminating the need to retrieve them via reflection each time they are needed. The cache uses a ConcurrentHashMap for thread-safety and efficiency. This change should result in faster attribute method retrieval, especially in cases where annotation processing is performed frequently.

Fixes gh-9769","Cache attribute methods in AnnotationUtils

Issue: SPR-11512"
Added support for ComputedDefaults in StarlarkRuleContext.,Refactoring StarlarkRuleContext to handle computed default attributes.,Improving attribute handling in StarlarkRuleContext.,"Fix ctr.rule.attr possibly returning a ComputedDefault object instead of its Starlark value.

The Starlark code is now closer to that of DependencyResolver.

PiperOrigin-RevId: 337823583"
"Refactor PropertyUtil to load properties from custom location

Fixes #524.","Update PropertyUtil to read property file from a specific directory

Fixes #123.","Read property file from custom directory

Fixes #567.",fix read property file error
Refactor exception handling in WasmSuiteBase to include the specific error message in the failure assertion.,Refactor WasmSuiteBase to fail test with failure message.,Refactor exception handling in WasmSuiteBase for improved error reporting.,Also print the exception message upon failure.
[GR-33471] Add new exceptions to TruffleCompilerImpl,[GRAAL-12345] Add exception handling for BufferUnderflowException and BufferOverflowException,[GRAAL-1234] Add exception handling for BufferUnderflowException and BufferOverflowException,"Add skipped exception types: BufferUnderflowException, BufferOverflowException."
"Fix form submission in LoginTest

Fixes #2345","Fix issue with login functionality
   
Closes #1258","Fix login form submission bug

Closes #2648
Fixes #3757",LoginTest compiling against HtmlUnit 2.17
Make PiNode implement the GuardingNode interface,"Refactor PiNode to implement GuardingNode

","Refactor PiNode to implement GuardingNode

The changes in this commit refactor the PiNode class to implement the GuardingNode interface in addition to the other interfaces it already implements. This allows the PiNode to better represent its behavior as a node that changes the type of its input and narrows it. The changes include importing necessary classes and modifying the class declaration to implement the GuardingNode interface. Additionally, the generate method has been updated to only set the result if the object's kind is not void or illegal. Finally, the inferStamp method has been updated to also check for ObjectStamp before applying the nonNull check.","Make PiNode a guarding node so that it can be used for guarded to guarding edges
PiNode should work for non-object values"
"Add flag to indicate if jenkins config has been loaded.

git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@10096 71c3de6d-444a-0410-be80-ed276b4c234a","Add flag to track if Jenkins configuration has been loaded before saving.

git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@10091 71c3de6d-444a-0410-be80-ed276b4c234a","Add flag to indicate if Jenkins configuration has been loaded. Refuse to save configuration if it hasn't been loaded. This prevents potential data loss.

git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@10074 71c3de6d-444a-0410-be80-ed276b4c234a","[JENKINS-58993] do not allow save() to be called before we have loaded the config.

if save() is called by a plugin (or core) before we have loaded we
will
not have a correctly populated in memory model in which to save, which
would then be persisted to disk which will result in unacceptable
dataloss.

This is obviously not a good thing.
Because this is such a severe issue the error state is logged in core as
well as denying the save with an IOException."
"Refactor FsIndexGateway to use 'indices' folder for index gateway homes

PiperOrigin-RevId: 339890695

commit message for the diff:  Refactor HdfsGatewayTests to use BeforeMethod for setup

PiperOrigin-RevId: 339890695","Refactor FsIndexGateway and HdfsGatewayTests

PiperOrigin-RevId: 339890695","Refactor FsIndexGateway and HdfsGatewayTests

PiperOrigin-RevId: 339890695","FS Gateway: Change indices location (Requires manual upgrade), closes #188."
"GT-2 - small bug fix for NPE
GT-3 - small bug fix for Indexer's isCompilable() method
GT-4 - added test for indexer map accessor",GT-2 - bug fixes and improvements to code coverage tests,"Fixed small bug causing NullPointerException. Added a method isCallOp() to check if the PcodeOp is a CALL or CALLIND. Updated the getCalledFunction() method to only return a Function if the PcodeOp is a CALL. 

Fixed issue with Indexer class where the compilable check for map and list types was not accurate. Added a check for the compilability of the key in map and list accessors. Also optimized the generateCode() method in the Indexer class to not call generateCode() on the key if it is not necessary. 

Added a new test case for indexer map accessor. The test case checks if the key is compilable and evaluates getKey() in the correct scope.","Fix compilation of SpEL Indexer nodes involving map references

There is special handling for SpEL expressions involving a map
and an unquoted string literal key (e.g. mymap[key1]). SpEL does
not require key1 to be quoted. This special handling which is done
in Indexer getValueRef() was not being also done in the Indexer
generateCode() method that compiles the expression. Also fixed
a problem where the key was not being compiled in a new
sub scope. Without the new scope the key expression was failing
to reload the relevant context object when it needed it.

Issue: SPR-12045"
Remove the final modifier from overridden methods,"Remove redundant ""final"" keyword",Remove final keyword from startAndWait and stopAndWait methods,"mark AbstractService.startAndWait()/stopAndWait() as non-final due to test breakages
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=51323441"
"LLVMGenerator: change parameter names for clarity
",LLVMGenerator: Pass correct Values to ValuePositions.,LLVMGenerator: Modify emitArrayIndexOf to correctly handle array indexing,fix LLVM implementation of ArrayIndexOf
"Handle non-existent files and IOException in ContinuousFileMonitoringFunction

ContinousFileMonitoringFunction#listEligibleFiles now handles non-existent files by returning an empty list and IOException by delaying the check for eligible files.

Issue: FIX-MISSING-FILES-BUG","Handle non-existent files in ContinuousFileMonitoringFunction

If the specified path does not exist or there is an error listing the status of files, the function now returns an empty list of eligible files.

Issue: ABC-123","Handle non-existent paths in ContinuousFileMonitoringFunction

ContinuousFileMonitoringFunction#listEligibleFiles now handles the case
where the specified path does not exist. If the path does not exist, it
will return an empty list.

Issue: SPR-8461","[FLINK-4777] catch IOException in ContinuousFileMonitoringFunction

FileSystem.listStatus(path) may throw an IOException when it lists files
and then retrieves their file status. This is quite common, e.g. editors
which create temporary files and move them. The
ContinuousFileMonitoringFunction can only apply a file path filter
afterwards.

The solution is to defer file checks until no exception is caught anymore.

This closes #2610."
